Gene Z_eqtl p_eqtl Z_twas p_twas
A1BG -0.761986836477673 0.446067860660063 -1.29373064445664 0.195758476405907
A2M -0.039361443495726 0.968602219704866 0.377453979358751 0.705836258521711
A3GALT2 0.66405272511065 0.506656565994639 -0.102634213864803 0.918253287480102
A4GALT -2.09845417791679 0.0358650436518723 1.06675890945493 0.286080718006997
A4GNT -0.04442606888205 0.96456478219585 -0.548530764390636 0.583327511134508
AAAS -0.280104375655345 0.779397427742415 -1.26417744159699 0.206166345710855
AACS 0.0251651747229318 0.979923214698934 -1.2268617324793 0.219874563657768
AADAC -0.103752871764552 0.917365467422979 0.410790234804153 0.681226354232712
AADAT -1.09277878224606 0.274490939682978 -0.0816284846624075 0.934942149390432
AAGAB -0.326620478022934 0.743954953087248 0.85486406626547 0.392626405716512
AAMDC -1.5653069584899 0.117510952327848 1.74515711978613 0.0809575230379852
AAMP -2.07678785158403 0.0378211439582757 0.271939430488684 0.78566859213834
AANAT 0.525493527381896 0.599240151677461 0.0234065055847168 0.981326015722697
AAR2 -2.12754484003102 0.0333748397867841 -1.47732162475586 0.139589444004455
AARD -0.139937088386614 0.888709697291828 0.491048181370796 0.623392370343663
AARS2 -0.332067186545747 0.739838526923849 0.623252516747281 0.533118595650007
AASDH -0.717270050656923 0.473207483138704 1.03296066339108 0.301622307665435
AASS 1.11920360514829 0.263053287792225 -0.979068875312805 0.327545949174629
AATK -1.52374652568514 0.127572042276954 1.33692369416636 0.181247545720964
ABAT -0.89144036255583 0.372692972262131 0.185409069061279 0.852908195663058
ABCA1 -0.0669871909516407 0.94659190043477 0.311758276927593 0.75522423492486
ABCA10 0.868585000024274 0.385074161844812 0.0246543250977993 0.980330687286196
ABCA13 -1.63878256286215 0.101258551952017 0.800214564962431 0.423586492522351
ABCA2 -1.33569717017497 0.181648274699739 -0.340174496173859 0.733725123238573
ABCA3 -2.24478055117916 0.0247822239196185 -0.639721691608429 0.522353550609942
ABCA5 0.810302433597592 0.417766377015857 0.734625509983426 0.462567597489825
ABCA6 -0.283346444123567 0.77691127810557 2.26710605621338 0.0233837477091999
ABCA7 -0.403560904509627 0.686535639695106 0.390189022341128 0.696396778495844
ABCA8 0.00115097603058557 0.999081654198104 -0.823451936244965 0.410251038864125
ABCA9 0.713392527149649 0.475602895982897 0.786376819410138 0.431646759707972
ABCB1 -0.412573531582692 0.679919096871881 -1.64218759536743 0.100551132636153
ABCB10 -1.15821865079979 0.246774819023895 -2.2173924446106 0.0265962855633846
ABCB4 -1.8060827595916 0.0709054133726694 1.24897801876068 0.211673113706333
ABCB6 -0.426216140681229 0.669950357248137 1.32258701324463 0.185972755363464
ABCB8 -2.14382480992668 0.0320469266383754 1.61704323185387 0.105868949306882
ABCB9 -0.498945887279331 0.617817506027062 -2.02175974845886 0.043201177972433
ABCC1 -1.05262747494592 0.292511759848178 -0.405797690153122 0.684891255999488
ABCC10 -0.632121282753325 0.527307629162945 1.0448055267334 0.296112860040617
ABCC2 0.63893416264224 0.522865762652723 0.0974719132644412 0.922351637970043
ABCC3 -0.199451289004192 0.84190974350047 1.42217342719462 0.154975910880364
ABCC4 -0.941226213598652 0.346588946010096 -2.2649057746289 0.0235184623408037
ABCC5 -0.637698965656165 0.523669658993022 2.60557770729065 0.00917194658058664
ABCC8 -1.18557422406523 0.235790486505547 -1.49100597743759 0.135959925567367
ABCC9 0.76787309757763 0.442562581619395 -0.852976224972577 0.393672488811094
ABCD2 0.216530959742082 0.828573895135162 -1.05433961491792 0.291727457821907
ABCD3 -0.612872355493947 0.53996074351715 -0.782857037943063 0.433711068595066
ABCD4 -1.2115462363219 0.225686125535133 -0.254142731428146 0.799385291919957
ABCF1 -0.150997936331872 0.879977343802199 4.40967556415545 1.03525600105798e-05
ABCF2 -1.17173743406682 0.241302488840775 0.0808798189092695 0.935537529554061
ABCF3 0.763942391948487 0.444901573470448 0.331981247540931 0.739903419057232
ABCG2 1.29518552717983 0.195256236245384 -1.97538100729352 0.0482249264937402
ABCG4 0.221666086533638 0.824573832360504 2.1423533741685 0.0321650568438793
ABHD10 -2.22562778998078 0.0260391231698259 0.775683999061584 0.437935589810265
ABHD11 0.0495160703898435 0.960508030589811 1.95548414114495 0.0505259534082257
ABHD12B -1.2058804717604 0.227863581323106 -0.935138583183288 0.349716884842607
ABHD13 -1.14685429680344 0.251441844224301 0.517999231252975 0.604458805692435
ABHD14A -0.155649697439949 0.876309149404263 1.15753948688507 0.247052016230301
ABHD14B 0.00438943233174348 0.99649775095819 -1.91370224952698 0.055658211470728
ABHD15 -0.916238306568044 0.359541917940742 -0.119233199363524 0.905090604963779
ABHD16A -1.12394777992918 0.261035179919579 0.6118104775404 0.540663156753542
ABHD17A -1.00586301733878 0.314481468445607 0.237074494361877 0.812598998927741
ABHD17C -0.911602468043555 0.361978022707808 1.27918791770935 0.200830889535251
ABHD4 1.46687905885381 0.142408958118816 -1.21447491320492 0.224566423921002
ABHD5 -0.906654715870771 0.36458941738835 1.54413616657257 0.122555348889472
ABHD6 -1.28639649967954 0.198304719397531 0.642801225185394 0.520353088047271
ABHD8 -1.30690883955008 0.191243673614874 2.9962104967088 0.00273357664453785
ABI1 -0.411691556115229 0.680565514801549 0.385035961866379 0.700210771947534
ABI2 -0.207352748979091 0.835734381451004 1.56859302520752 0.116742798687515
ABI3 -0.0149702365376244 0.9880559255238 -0.79158091545105 0.428605078442434
ABI3BP 1.53303903282046 0.125266237864767 0.1266214424835 0.899240024894913
ABL1 -0.558220578083789 0.576693770685345 0.404965370893478 0.685502965577006
ABL2 -2.2002359025815 0.0277901622734974 -1.79877984743559 0.0720535123790175
ABLIM1 0.358695224071772 0.719823101599112 1.39095461368561 0.164239190116761
ABLIM2 -1.00096564699367 0.31684341688894 1.30418384075165 0.19217090812247
ABLIM3 0.0299155225928438 0.976134426151349 0.381055772304535 0.703161864512369
ABO -0.787042766406303 0.431256831526061 -0.0854929153884764 0.931869527552967
ABRA 0.395526454050865 0.692454402341597 -0.334643214941025 0.7378942417535
ABRACL 0.598468264653439 0.549527528139189 0.645465892988797 0.518625314087513
ABT1 0.373686908922846 0.708637266058142 0.370457372864165 0.711041732260783
ABTB1 -1.01769457144583 0.308823127893716 1.73384571075439 0.0829454626386172
ABTB2 -0.629488239950348 0.529029465375279 -0.323179334402084 0.746559430629705
AC002064.5 -1.72061993181027 0.0853198141880043 0.0751170789878583 0.940121559148622
AC002511.3 0.105090909337448 0.916303672658182 0.459116131067276 0.646150773364502
AC003090.1 1.65310306719397 0.098309889221653 2.08873882921715 0.0367312395097338
AC004012.1 0.472870424429775 0.63630562650645 -0.252777471223586 0.800440177809724
AC004069.2 -0.219216832833565 0.826481143666085 0.625574946403503 0.531593775971535
AC004156.3 -0.532263805867948 0.594543296511708 -0.486920684576035 0.626314539901494
AC004540.5 0.470420492824253 0.638054625886592 0.644416505407783 0.519305384310651
AC005013.5 -0.438066739613866 0.661337904192664 0.608810959070726 0.542649748720837
AC005082.12 1.49667997689989 0.134476548751997 0.784749714568697 0.432600328267564
AC005224.2 -2.34322512835463 0.0191178434208497 -1.18509948771463 0.235978113612365
